;0
240;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2
241;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2
242;CN(C)C(=O)Oc1ccc2c(c1)C=CCN(C)[C@@H]2CCOc1ccc([N+](=O)[O-])cc1
243;Cc1ccc(C2c3ccc4ccccc4c3Oc3nc4c(c(N)c32)CCCC4)cc1
244;Nc1c2c(nc3c1C(c1ccc([N+](=O)[O-])cc1)c1ccc4ccccc4c1O3)CCCC2
245;CCN(CCCCNC(=O)COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC
246;COc1cc2ccnc3c2c(c1OC)COC3(CC(O)CO)OC
247;COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCNC2
248;Fc1ccc(Cc2nnc3sc(-c4ccoc4)nn23)cc1
249;COc1c(O)cc(C2Oc3cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c3C(=O)C2O)cc1O
250;N#Cc1cc(C#N)c(NCCCC2CCN(Cc3ccccc3)CC2)nc1N
251;O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)ccc2o1
252;COc1ccccc1C1c2ccc3ccccc3c2Oc2nc3c(c(N)c21)CCCC3
253;c1ccc(CCCCCNc2c3c(nc4ccccc24)CCCC3)nc1
254;CC(C)N(CCOc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1)C(C)C
255;CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
256;O=C1/C(=C/c2ccc(F)cc2)CN(C(=O)C2C[C@H]3CCCN3[C@]23C(=O)Nc2cc(Cl)ccc23)C/C1=C\c1ccc(F)cc1
257;c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3
258;CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
259;CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
260;CCOC(=O)c1cc2c(OC(=O)N(C)C)cccc2[n+](C)c1
261;O=C(Oc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1)N1CCCCC1
262;O=C(CCc1c[nH]c2ccccc12)NCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2
263;CC(C)Cc1ccc(C(=O)CC(Sc2ccccc2N)c2cccc([N+](=O)[O-])c2)cc1
264;Cc1nn(S(=O)(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1-c1nsc(Nc2ccccc2)n1
265;O=C(Cc1sc(Nc2ccc(C3CCCCC3)cc2)nc1O)Nc1ccc(OC(F)(F)F)cc1
266;CCCc1cc(N2CCC=N2)ccc1C(=O)ON=C(N)c1ccc(C(F)(F)F)cc1
267;O=C(OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1
268;CN[C@@H](C)[C@H]1CCC2=C3CCC4C(=O)C(=NC(=O)CC(C)C)CC[C@]4(C)C3CC[C@@]21C
